sample_id,created_at,source,run_id,node_id,status,preset_id,preset_label,generation_method,skeleton_group,furniture_group,walkability,safety,beauty,overall,is_pareto_front,pareto_rank,dominated_by_count,scene_layout_path,scene_glb_path
eval:e0d9a8b3cac12b32007e95ed,2026-05-11T14:18:33+00:00,manual_evaluation,N/A,eval:e0d9a8b3cac12b32007e95ed,succeeded,custom,custom,unknown_legacy,lane_count_4,custom,35.0,25.0,44.0,33.0,False,N/A,0,/Users/shiqi/Coding/github/GIStudio/RoadGen3D/artifacts/real/graph_template/hkust_gz_gate/20260511T111924Z/scene_layout.json,N/A
4ef7c8ebf7de48ddb64d74e92bfb7df9:d0_r3_50b91129,2026-05-11T10:12:47+00:00,branch_run,4ef7c8ebf7de48ddb64d74e92bfb7df9,d0_r3_50b91129,succeeded,custom_legacy,历史自定义,parametric,transit_priority,custom_legacy,29.0,26.0,46.0,32.0,False,1,2,/Users/shiqi/Coding/github/GIStudio/RoadGen3D/artifacts/branch_runs/4ef7c8ebf7de48ddb64d74e92bfb7df9/d0_r3_50b91129/graph_template/hkust_gz_gate/20260511T100609Z/scene_layout.json,/Users/shiqi/Coding/github/GIStudio/RoadGen3D/artifacts/branch_runs/4ef7c8ebf7de48ddb64d74e92bfb7df9/d0_r3_50b91129/graph_template/hkust_gz_gate/20260511T100609Z/scene.glb
4ef7c8ebf7de48ddb64d74e92bfb7df9:d0_r2_3cbfc8e4,2026-05-11T10:05:55+00:00,branch_run,4ef7c8ebf7de48ddb64d74e92bfb7df9,d0_r2_3cbfc8e4,succeeded,custom_legacy,历史自定义,parametric,walkable_commercial_corridor,custom_legacy,32.0,29.0,48.0,34.0,True,0,0,/Users/shiqi/Coding/github/GIStudio/RoadGen3D/artifacts/branch_runs/4ef7c8ebf7de48ddb64d74e92bfb7df9/d0_r2_3cbfc8e4/graph_template/hkust_gz_gate/20260511T100128Z/scene_layout.json,/Users/shiqi/Coding/github/GIStudio/RoadGen3D/artifacts/branch_runs/4ef7c8ebf7de48ddb64d74e92bfb7df9/d0_r2_3cbfc8e4/graph_template/hkust_gz_gate/20260511T100128Z/scene.glb
4ef7c8ebf7de48ddb64d74e92bfb7df9:d0_r1_120ba558,2026-05-11T10:01:25+00:00,branch_run,4ef7c8ebf7de48ddb64d74e92bfb7df9,d0_r1_120ba558,succeeded,custom_legacy,历史自定义,parametric,mixed_use,custom_legacy,30.0,26.0,52.0,33.0,True,0,0,/Users/shiqi/Coding/github/GIStudio/RoadGen3D/artifacts/branch_runs/4ef7c8ebf7de48ddb64d74e92bfb7df9/d0_r1_120ba558/graph_template/hkust_gz_gate/20260511T095455Z/scene_layout.json,/Users/shiqi/Coding/github/GIStudio/RoadGen3D/artifacts/branch_runs/4ef7c8ebf7de48ddb64d74e92bfb7df9/d0_r1_120ba558/graph_template/hkust_gz_gate/20260511T095455Z/scene.glb
05be40b6d02744c3b4e1258ee2417ec0:d2_r5_9565a2db,2026-05-06T11:10:12+00:00,branch_run,05be40b6d02744c3b4e1258ee2417ec0,d2_r5_9565a2db,succeeded,park_landscape,公园景观,parametric,balanced_complete,park_landscape,32.0,30.0,45.0,34.0,False,4,6,/Users/shiqi/Coding/github/GIStudio/RoadGen3D/artifacts/branch_runs/05be40b6d02744c3b4e1258ee2417ec0/d2_r5_9565a2db/graph_template/hkust_gz_gate/20260506T110840Z/scene_layout.json,/Users/shiqi/Coding/github/GIStudio/RoadGen3D/artifacts/branch_runs/05be40b6d02744c3b4e1258ee2417ec0/d2_r5_9565a2db/graph_template/hkust_gz_gate/20260506T110840Z/scene.glb
05be40b6d02744c3b4e1258ee2417ec0:d2_r4_698c154e,2026-05-06T11:08:38+00:00,branch_run,05be40b6d02744c3b4e1258ee2417ec0,d2_r4_698c154e,succeeded,park_landscape,公园景观,parametric,quiet_residential,park_landscape,42.0,58.0,48.0,49.0,False,1,1,/Users/shiqi/Coding/github/GIStudio/RoadGen3D/artifacts/branch_runs/05be40b6d02744c3b4e1258ee2417ec0/d2_r4_698c154e/graph_template/hkust_gz_gate/20260506T110718Z/scene_layout.json,/Users/shiqi/Coding/github/GIStudio/RoadGen3D/artifacts/branch_runs/05be40b6d02744c3b4e1258ee2417ec0/d2_r4_698c154e/graph_template/hkust_gz_gate/20260506T110718Z/scene.glb
05be40b6d02744c3b4e1258ee2417ec0:d2_r3_d60ec4e7,2026-05-06T11:07:15+00:00,branch_run,05be40b6d02744c3b4e1258ee2417ec0,d2_r3_d60ec4e7,succeeded,park_landscape,公园景观,parametric,transit_priority,park_landscape,41.0,57.0,47.0,48.0,False,3,3,/Users/shiqi/Coding/github/GIStudio/RoadGen3D/artifacts/branch_runs/05be40b6d02744c3b4e1258ee2417ec0/d2_r3_d60ec4e7/graph_template/hkust_gz_gate/20260506T110554Z/scene_layout.json,/Users/shiqi/Coding/github/GIStudio/RoadGen3D/artifacts/branch_runs/05be40b6d02744c3b4e1258ee2417ec0/d2_r3_d60ec4e7/graph_template/hkust_gz_gate/20260506T110554Z/scene.glb
05be40b6d02744c3b4e1258ee2417ec0:d2_r2_d8d77862,2026-05-06T11:05:51+00:00,branch_run,05be40b6d02744c3b4e1258ee2417ec0,d2_r2_d8d77862,succeeded,park_landscape,公园景观,parametric,walkable_commercial_corridor,park_landscape,34.0,28.0,45.0,34.0,False,4,6,/Users/shiqi/Coding/github/GIStudio/RoadGen3D/artifacts/branch_runs/05be40b6d02744c3b4e1258ee2417ec0/d2_r2_d8d77862/graph_template/hkust_gz_gate/20260506T110417Z/scene_layout.json,/Users/shiqi/Coding/github/GIStudio/RoadGen3D/artifacts/branch_runs/05be40b6d02744c3b4e1258ee2417ec0/d2_r2_d8d77862/graph_template/hkust_gz_gate/20260506T110417Z/scene.glb
05be40b6d02744c3b4e1258ee2417ec0:d2_r1_c7106cf2,2026-05-06T11:04:14+00:00,branch_run,05be40b6d02744c3b4e1258ee2417ec0,d2_r1_c7106cf2,succeeded,park_landscape,公园景观,parametric,mixed_use,park_landscape,31.0,28.0,46.0,33.0,False,4,5,/Users/shiqi/Coding/github/GIStudio/RoadGen3D/artifacts/branch_runs/05be40b6d02744c3b4e1258ee2417ec0/d2_r1_c7106cf2/graph_template/hkust_gz_gate/20260506T110242Z/scene_layout.json,N/A
05be40b6d02744c3b4e1258ee2417ec0:d1_r5_ac733b44,2026-05-06T11:02:41+00:00,branch_run,05be40b6d02744c3b4e1258ee2417ec0,d1_r5_ac733b44,succeeded,park_landscape,公园景观,parametric,balanced_complete,park_landscape,35.0,34.0,44.0,36.0,False,4,6,/Users/shiqi/Coding/github/GIStudio/RoadGen3D/artifacts/branch_runs/05be40b6d02744c3b4e1258ee2417ec0/d1_r5_ac733b44/graph_template/hkust_gz_gate/20260506T110058Z/scene_layout.json,/Users/shiqi/Coding/github/GIStudio/RoadGen3D/artifacts/branch_runs/05be40b6d02744c3b4e1258ee2417ec0/d1_r5_ac733b44/graph_template/hkust_gz_gate/20260506T110058Z/scene.glb
